iter	Passed	Remaining
0	145	145503
1	151	75627
2	155	51676
3	158	39531
4	162	32399
5	168	27875
6	171	24314
7	174	21649
8	178	19699
9	184	18299
10	188	16907
11	191	15748
12	194	14744
13	199	14034
14	202	13277
15	205	12625
16	208	12033
17	211	11553
18	216	11155
19	218	10713
20	221	10313
21	223	9944
22	226	9621
23	230	9383
24	233	9106
25	236	8843
26	238	8596
27	241	8367
28	245	8230
29	248	8043
30	251	7868
31	254	7696
32	257	7554
33	262	7454
34	265	7322
35	268	7199
36	271	7071
37	277	7022
38	280	6915
39	284	6819
40	287	6735
41	292	6674
42	295	6577
43	298	6482
44	301	6390
45	307	6368
46	310	6300
47	313	6225
48	317	6169
49	322	6129
50	325	6062
51	328	5990
52	331	5925
53	334	5864
54	340	5852
55	344	5802
56	348	5757
57	351	5702
58	355	5669
59	358	5613
60	361	5565
61	364	5510
62	368	5484
63	371	5439
64	376	5410
65	379	5365
66	383	5339
67	387	5313
68	390	5272
69	393	5229
70	396	5187
71	400	5167
72	404	5132
73	407	5093
74	409	5056
75	412	5014
76	416	4990
77	419	4959
78	422	4921
79	424	4882
80	426	4844
81	429	4806
82	433	4789
83	436	4763
84	439	4732
85	442	4701
86	445	4672
87	449	4661
88	452	4636
89	455	4610
90	458	4582
91	461	4555
92	465	4543
93	468	4518
94	471	4493
95	474	4467
96	477	4442
97	482	4445
98	486	4424
99	489	4403
100	492	4381
101	496	4374
102	500	4354
103	502	4331
104	505	4307
105	508	4285
106	513	4288
107	517	4275
108	521	4261
109	524	4245
110	528	4231
111	531	4216
112	535	4206
113	539	4192
114	548	4223
115	553	4216
116	556	4202
117	564	4218
118	567	4203
119	571	4193
120	578	4199
121	581	4184
122	584	4170
123	588	4158
124	594	4162
125	598	4148
126	602	4140
127	609	4149
128	613	4139
129	617	4133
130	621	4123
131	626	4120
132	630	4107
133	633	4096
134	636	4081
135	642	4079
136	645	4068
137	648	4051
138	651	4035
139	656	4032
140	660	4023
141	663	4008
142	665	3991
143	668	3974
144	673	3970
145	676	3957
146	680	3948
147	683	3934
148	689	3938
149	692	3926
150	696	3913
151	698	3898
152	701	3882
153	706	3881
154	709	3867
155	712	3855
156	715	3840
157	718	3828
158	723	3825
159	726	3813
160	729	3800
161	732	3790
162	738	3792
163	742	3782
164	745	3772
165	748	3762
166	753	3759
167	756	3746
168	759	3732
169	762	3720
170	764	3707
171	769	3702
172	771	3689
173	774	3676
174	777	3665
175	779	3651
176	783	3643
177	786	3633
178	789	3620
179	792	3609
180	795	3598
181	799	3593
182	803	3585
183	805	3572
184	808	3559
185	810	3547
186	812	3534
187	818	3535
188	821	3524
189	823	3512
190	826	3500
191	828	3487
192	834	3490
193	837	3481
194	840	3471
195	843	3460
196	849	3461
197	851	3450
198	854	3439
199	856	3427
200	859	3416
201	864	3415
202	867	3406
203	870	3395
204	872	3384
205	875	3374
206	880	3372
207	883	3363
208	885	3352
209	888	3341
210	891	3331
211	895	3327
212	898	3321
213	902	3313
214	904	3302
215	907	3292
216	911	3287
217	914	3280
218	917	3270
219	919	3259
220	923	3253
221	926	3248
222	930	3241
223	933	3232
224	935	3222
